bank_id,gl_id,bank_description,gl_description,confidence,matched_rules,match_type,bank_amount,gl_amount,amount_difference,bank_date,gl_date,date_difference_days,time_anomaly_6_months,normalized_bank_vendor,normalized_gl_vendor
BANK000001,GL000220,Payment to Digital Agency,GL Entry: XYZ Corporation,41.06,"[""amount_only_match""]",amount_only,32007.4,31948.46,58.94,2024-01-13 00:00:00,2024-06-05 00:00:00,144,,,
BANK000002,GL000074,Payment to Software House,GL Entry: ABC Inc,14.58,"[""amount_only_match""]",amount_only,7062.94,7148.36,85.42,2024-02-22 00:00:00,2024-06-08 00:00:00,107,,,
BANK000003,GL000338,Payment to ABC Inc,GL Entry: GLOBAL SERVICES INC,48.84,"[""amount_only_match""]",amount_only,4438.25,4387.09,51.16,2024-08-04 00:00:00,2024-01-17 00:00:00,200,,,
BANK000004,GL000407,Payment to Cloud Services,GL Entry: XYZ Corp,75.88,"[""amount_only_match""]",amount_only,11010.03,11034.15,24.12,2024-09-15 00:00:00,2024-06-22 00:00:00,85,,,
BANK000005,GL000021,Payment to Digital Agency,GL Entry: X Y Z Corp,30.39,"[""amount_only_match""]",amount_only,10022.0,9952.39,69.61,2024-11-28 00:00:00,2024-09-21 00:00:00,68,,,
BANK000006,GL000071,Payment to Business Tools,GL Entry: ABC Inc.,8.65,"[""amount_only_match""]",amount_only,22515.53,22606.88,91.35,2024-05-22 00:00:00,2024-11-26 00:00:00,188,,,
BANK000007,GL000100,Payment to Tech Solutions,GL Entry: GLOBAL SERVICES INC,80.01,"[""amount_only_match""]",amount_only,34937.16,34917.17,19.99,2024-06-23 00:00:00,2024-05-14 00:00:00,40,,,
BANK000008,GL000005,Payment to XYZ Corp,GL Entry: ABC Inc,58.56,"[""amount_only_match""]",amount_only,5200.29,5241.73,41.44,2024-07-13 00:00:00,2024-10-26 00:00:00,105,,,
BANK000009,GL000492,Payment to Digital Agency,GL Entry: TS Inc,48.71,"[""amount_only_match""]",amount_only,30225.93,30174.64,51.29,2024-01-23 00:00:00,2024-06-28 00:00:00,157,,,
BANK000010,GL000351,Payment to XYZ Corp,GL Entry: ABC INCORPORATED,84.72,"[""amount_only_match""]",amount_only,48658.48,48643.2,15.28,2024-07-12 00:00:00,2024-03-19 00:00:00,115,,,
BANK000011,GL000238,Payment to Cloud Services,GL Entry: Tech Solutions,57.29,"[""amount_only_match""]",amount_only,30964.14,31006.85,42.71,2024-07-04 00:00:00,2024-07-08 00:00:00,4,,,
BANK000012,GL000091,Payment to Business Tools,GL Entry: GLOBAL SERV,63.37,"[""amount_only_match""]",amount_only,2386.64,2350.01,36.63,2024-04-26 00:00:00,2024-06-25 00:00:00,60,,,
BANK000013,GL000359,Payment to Audit Solutions,GL Entry: ABC Inc.,92.21,"[""amount_only_match""]",amount_only,42780.35,42788.14,7.79,2024-02-21 00:00:00,2024-03-27 00:00:00,35,,,
BANK000014,GL000026,Payment to Finance Partners,GL Entry: ABC Inc.,46.53,"[""amount_only_match""]",amount_only,41722.11,41668.64,53.47,2024-03-24 00:00:00,2024-09-20 00:00:00,180,,,
BANK000015,GL000108,Payment to Software House,GL Entry: Tech Solutions,70.88,"[""amount_only_match""]",amount_only,13422.19,13451.31,29.12,2024-12-15 00:00:00,2024-11-23 00:00:00,22,,,
BANK000016,GL000034,Payment to Digital Agency,GL Entry: XYZ Corporation,34.86,"[""amount_only_match""]",amount_only,31785.42,31850.56,65.14,2024-09-30 00:00:00,2024-01-09 00:00:00,265,,,
BANK000017,GL000232,Payment to Digital Agency,GL Entry: XYZ CORP,53.54,"[""amount_only_match""]",amount_only,19034.83,18988.37,46.46,2024-11-23 00:00:00,2024-01-30 00:00:00,298,,,
