transaction_id,vendor,amount,source,date,historical_transaction_count,historical_amounts,anomaly_type
BANK000355,xyz,22485.21,bank,2024-01-03 00:00:00,1,[27900.84],amount_not_seen_in_6_months
GL000209,smith,15900.1,gl,2024-01-03 00:00:00,1,[17955.34],amount_not_seen_in_6_months
GL000457,tech solutions,3308.71,gl,2024-01-03 00:00:00,1,[27442.07],amount_not_seen_in_6_months
BANK000818,data systems,29265.91,bank,2024-01-04 00:00:00,1,[38561.23],amount_not_seen_in_6_months
GL000507,global services,35880.5,gl,2024-01-04 00:00:00,1,[41487.0],amount_not_seen_in_6_months
GL001106,global services,27524.23,gl,2024-01-04 00:00:00,1,[41487.0],amount_not_seen_in_6_months
GL001140,smith,2080.6,gl,2024-01-04 00:00:00,2,"[15900.1, 17955.34]",amount_not_seen_in_6_months
GL000223,global services,47249.11,gl,2024-01-05 00:00:00,3,"[27524.23, 35880.5, 41487.0]",amount_not_seen_in_6_months
GL000281,smith,37439.48,gl,2024-01-05 00:00:00,3,"[2080.6, 15900.1, 17955.34]",amount_not_seen_in_6_months
GL001065,xyz,34863.74,gl,2024-01-05 00:00:00,2,"[22485.21, 27900.84]",amount_not_seen_in_6_months
BANK000986,software house,18256.89,bank,2024-01-06 00:00:00,1,[43259.04],amount_not_seen_in_6_months
BANK000568,tech solutions,43199.54,bank,2024-01-07 00:00:00,2,"[3308.71, 27442.07]",amount_not_seen_in_6_months
BANK000687,global services,2297.49,bank,2024-01-07 00:00:00,4,"[27524.23, 35880.5, 41487.0, 47249.11]",amount_not_seen_in_6_months
BANK000789,business tools,26032.44,bank,2024-01-07 00:00:00,1,[47554.41],amount_not_seen_in_6_months
BANK000881,digital agency,32783.18,bank,2024-01-07 00:00:00,1,[6454.68],amount_not_seen_in_6_months
GL000052,smith,47247.48,gl,2024-01-07 00:00:00,4,"[2080.6, 15900.1, 17955.34, 37439.48]",amount_not_seen_in_6_months
GL000357,smith,31733.91,gl,2024-01-07 00:00:00,4,"[2080.6, 15900.1, 17955.34, 37439.48]",amount_not_seen_in_6_months
GL000485,xyz,35510.46,gl,2024-01-07 00:00:00,3,"[22485.21, 27900.84, 34863.74]",amount_not_seen_in_6_months
GL000681,abc,6354.58,gl,2024-01-07 00:00:00,2,"[16521.4, 29847.73]",amount_not_seen_in_6_months
GL000822,smith,46668.43,gl,2024-01-07 00:00:00,4,"[2080.6, 15900.1, 17955.34, 37439.48]",amount_not_seen_in_6_months
BANK000196,data systems,15606.43,bank,2024-01-08 00:00:00,2,"[29265.91, 38561.23]",amount_not_seen_in_6_months
BANK000211,digital agency,45531.04,bank,2024-01-08 00:00:00,2,"[6454.68, 32783.18]",amount_not_seen_in_6_months
BANK000520,global services,15229.08,bank,2024-01-08 00:00:00,5,"[2297.49, 27524.23, 35880.5, 41487.0, 47249.11]",amount_not_seen_in_6_months
GL000676,xyz,8393.58,gl,2024-01-08 00:00:00,4,"[22485.21, 27900.84, 34863.74, 35510.46]",amount_not_seen_in_6_months
BANK000153,xyz,22463.91,bank,2024-01-09 00:00:00,5,"[8393.58, 22485.21, 27900.84, 34863.74, 35510.46]",amount_not_seen_in_6_months
BANK000527,tech solutions,37088.49,bank,2024-01-09 00:00:00,3,"[3308.71, 27442.07, 43199.54]",amount_not_seen_in_6_months
GL000034,xyz,31850.56,gl,2024-01-09 00:00:00,5,"[8393.58, 22485.21, 27900.84, 34863.74, 35510.46]",amount_not_seen_in_6_months
GL000297,global svcs,4025.65,gl,2024-01-09 00:00:00,1,[38694.03],amount_not_seen_in_6_months
