bank_id,bank_description,bank_vendor_normalized,bank_amount,gl_ids,gl_descriptions,gl_vendor_normalized,combined_gl_amount,amount_difference,vendor_score,date_difference_days,time_anomaly_6_months,confidence,matched_rules,match_type
BANK000033,Payment to ABC Inc,abc,47679.64,"[""GL000721"", ""GL000355"", ""GL000195""]","[""GL Entry: ABC INC"", ""GL Entry: ABC INC"", ""GL Entry: ABC Inc.""]","[""abc"", ""abc"", ""abc""]",47626.05,53.59,100.0,5,False,73.2,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000040,Payment to XYZ Corp,xyz,44990.74,"[""GL000059"", ""GL000575"", ""GL000305""]","[""GL Entry: XYZ CORP"", ""GL Entry: XYZ Corporation"", ""GL Entry: XYZ Corp""]","[""xyz"", ""xyz"", ""xyz""]",44990.68,0.06,100.0,4,False,99.97,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000091,Payment to ABC Inc,abc,9010.53,"[""GL000704"", ""GL000487""]","[""GL Entry: ABC INCORPORATED"", ""GL Entry: ABC Inc""]","[""abc"", ""abc""]",8940.54,69.99,100.0,5,False,65.0,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000251,Payment to XYZ Corp,xyz,44282.15,"[""GL000937"", ""GL000833""]","[""GL Entry: XYZ Corp"", ""GL Entry: XYZ CORP.""]","[""xyz"", ""xyz""]",44287.05,4.9,100.0,4,False,97.55,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000251,Payment to XYZ Corp,xyz,44282.15,"[""GL000326"", ""GL000833""]","[""GL Entry: XYZ Corporation"", ""GL Entry: XYZ CORP.""]","[""xyz"", ""xyz""]",44276.21,5.94,100.0,5,False,97.03,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000251,Payment to XYZ Corp,xyz,44282.15,"[""GL000157"", ""GL000833""]","[""GL Entry: XYZ Corporation"", ""GL Entry: XYZ CORP.""]","[""xyz"", ""xyz""]",44190.37,91.78,100.0,2,False,54.11,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000252,Payment to ABC Inc,abc,20464.98,"[""GL001183"", ""GL000704"", ""GL000487""]","[""GL Entry: ABC INCORPORATED"", ""GL Entry: ABC INCORPORATED"", ""GL Entry: ABC Inc""]","[""abc"", ""abc"", ""abc""]",20377.44,87.54,100.0,4,False,56.23,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000382,Payment to XYZ Corp,xyz,32009.52,"[""GL001170"", ""GL000615""]","[""GL Entry: XYZ CORP"", ""GL Entry: XYZ Corporation""]","[""xyz"", ""xyz""]",31932.08,77.44,100.0,3,False,61.28,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000512,Payment to Global Services,global services,37745.36,"[""GL001146"", ""GL001072"", ""GL000894""]","[""GL Entry: Global Services"", ""GL Entry: GLOBAL SERVICES INC"", ""GL Entry: Global Services""]","[""global services"", ""global services"", ""global services""]",37729.16,16.2,100.0,5,False,91.9,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000560,Payment to Smith & Co,smith,47063.03,"[""GL000686"", ""GL000970""]","[""GL Entry: Smith & Company"", ""GL Entry: Smith & Company""]","[""smith"", ""smith""]",47007.85,55.18,100.0,5,False,72.41,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000598,Payment to XYZ Corp,xyz,24198.01,"[""GL001045"", ""GL000161""]","[""GL Entry: XYZ CORP."", ""GL Entry: XYZ Corp""]","[""xyz"", ""xyz""]",24269.02,71.01,100.0,2,False,64.49,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000617,Payment to Smith & Co,smith,47596.91,"[""GL001105"", ""GL000257"", ""GL000580""]","[""GL Entry: Smith & Company"", ""GL Entry: Smith & Co"", ""GL Entry: Smith & Company""]","[""smith"", ""smith"", ""smith""]",47497.77,99.14,100.0,4,False,50.43,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000627,Payment to Global Services,global services,38804.02,"[""GL000101"", ""GL000795""]","[""GL Entry: Global Svcs"", ""GL Entry: GLOBAL SERVICES INC""]","[""global svcs"", ""global services""]",38844.41,40.39,92.31,4,False,75.96,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000711,Payment to Smith & Co,smith,42638.86,"[""GL001119"", ""GL000137""]","[""GL Entry: SMITH CO"", ""GL Entry: Smith Co.""]","[""smith"", ""smith""]",42570.5,68.36,100.0,3,False,65.82,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000720,Payment to ABC Inc,abc,29347.33,"[""GL000067"", ""GL000631""]","[""GL Entry: ABC INC"", ""GL Entry: ABC Inc""]","[""abc"", ""abc""]",29393.81,46.48,100.0,2,False,76.76,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000747,Payment to Smith & Co,smith,15158.08,"[""GL000806"", ""GL000976""]","[""GL Entry: Smith Co."", ""GL Entry: Smith Co.""]","[""smith"", ""smith""]",15213.2,55.12,100.0,5,False,72.44,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000753,Payment to Global Services,global services,46059.81,"[""GL000901"", ""GL000738""]","[""GL Entry: Global Services"", ""GL Entry: Global Services""]","[""global services"", ""global services""]",46128.45,68.64,100.0,4,False,65.68,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000757,Payment to Global Services,global services,22386.83,"[""GL000883"", ""GL000816""]","[""GL Entry: GLOBAL SERV"", ""GL Entry: Global Svcs""]","[""global serv"", ""global svcs""]",22305.17,81.66,84.62,3,False,51.48,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000777,Payment to Global Services,global services,22043.05,"[""GL000424"", ""GL000638"", ""GL000685""]","[""GL Entry: Global Services"", ""GL Entry: Global Services"", ""GL Entry: GLOBAL SERVICES INC""]","[""global services"", ""global services"", ""global services""]",21965.79,77.26,100.0,4,False,61.37,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000826,Payment to Global Services,global services,29192.88,"[""GL001055"", ""GL000992""]","[""GL Entry: Global Services Inc"", ""GL Entry: Global Svcs""]","[""global services"", ""global svcs""]",29271.74,78.86,92.31,3,False,56.72,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000831,Payment to XYZ Corp,xyz,44989.6,"[""GL001064"", ""GL000121""]","[""GL Entry: XYZ Corp"", ""GL Entry: XYZ Corp""]","[""xyz"", ""xyz""]",44964.75,24.85,100.0,5,False,87.58,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000867,Payment to Global Services,global services,45248.49,"[""GL001002"", ""GL000929"", ""GL000228""]","[""GL Entry: GLOBAL SERVICES INC"", ""GL Entry: Global Services"", ""GL Entry: Global Services""]","[""global services"", ""global services"", ""global services""]",45148.66,99.83,100.0,3,False,50.08,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000892,Payment to XYZ Corp,xyz,37287.42,"[""GL000850"", ""GL000648""]","[""GL Entry: XYZ Corp"", ""GL Entry: XYZ CORP""]","[""xyz"", ""xyz""]",37335.37,47.95,100.0,5,False,76.02,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000970,Payment to Tech Solutions,tech solutions,14603.57,"[""GL000243"", ""GL000119""]","[""GL Entry: Tech Solutions LLC"", ""GL Entry: Tech Solutions""]","[""tech solutions"", ""tech solutions""]",14634.28,30.71,100.0,3,False,84.64,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000975,Payment to ABC Inc,abc,47937.08,"[""GL000284"", ""GL000332"", ""GL000236""]","[""GL Entry: ABC Inc."", ""GL Entry: ABC INCORPORATED"", ""GL Entry: ABC Inc""]","[""abc"", ""abc"", ""abc""]",47947.58,10.5,100.0,4,False,94.75,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
BANK000996,Payment to Global Services,global services,25881.48,"[""GL000178"", ""GL000801"", ""GL001200""]","[""GL Entry: Global Services"", ""GL Entry: Global Services"", ""GL Entry: Global Services""]","[""global services"", ""global services"", ""global services""]",25808.31,73.17,100.0,5,False,63.42,"[""multi_transaction_match"", ""vendor_group_match"", ""date_window_match""]",complex
