bank_id,gl_id,bank_description,gl_description,confidence,matched_rules,match_type,bank_amount,gl_amount,amount_difference,bank_date,gl_date,date_difference_days,time_anomaly_6_months,normalized_bank_vendor,normalized_gl_vendor
BANK000040,GL000723,Payment to XYZ Corp,GL Entry: XYZ Corp,69.98,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,44990.74,44940.7,50.04,2024-08-19 00:00:00,2024-08-14 00:00:00,5,False,xyz,xyz
BANK000048,GL001083,Payment to XYZ Corp,GL Entry: XYZ CORP,83.62,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,33700.89,33701.84,0.95,2024-11-26 00:00:00,2024-12-04 00:00:00,8,False,xyz,xyz
BANK000072,GL000488,Payment to Tech Solutions,GL Entry: Tech Solutions,55.05,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,37146.59,37049.22,97.37,2024-03-20 00:00:00,2024-03-17 00:00:00,3,False,tech solutions,tech solutions
BANK000252,GL000419,Payment to ABC Inc,GL Entry: ABC INCORPORATED,63.46,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,20464.98,20373.64,91.34,2024-05-23 00:00:00,2024-05-23 00:00:00,0,False,abc,abc
BANK000260,GL000141,Payment to Smith & Co,GL Entry: SMITH CO,47.92,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,13936.01,14026.21,90.2,2024-03-15 00:00:00,2024-03-23 00:00:00,8,False,smith,smith
BANK000418,GL000600,Payment to Smith & Co,GL Entry: Smith & Co,52.66,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,13446.84,13520.18,73.34,2024-05-06 00:00:00,2024-05-15 00:00:00,9,False,smith,smith
BANK000569,GL001004,Payment to Global Services,GL Entry: Global Svcs,54.7,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,36269.71,36196.84,72.87,2024-10-13 00:00:00,2024-10-18 00:00:00,5,False,global services,global svcs
BANK000679,GL000471,Payment to ABC Inc,GL Entry: ABC Inc,70.27,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,35424.24,35354.91,69.33,2024-12-25 00:00:00,2024-12-24 00:00:00,1,False,abc,abc
BANK000688,GL000436,Payment to Smith & Co,GL Entry: Smith Co.,53.01,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,18262.43,18359.91,97.48,2024-03-17 00:00:00,2024-03-21 00:00:00,4,False,smith,smith
BANK000716,GL000118,Payment to Global Services,GL Entry: GLOBAL SERVICES INC,63.62,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,27842.09,27918.05,75.96,2024-10-08 00:00:00,2024-10-05 00:00:00,3,False,global services,global services
BANK000734,GL000933,Payment to XYZ Corp,GL Entry: XYZ CORP.,84.8,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,49980.33,49983.34,3.01,2024-03-22 00:00:00,2024-03-29 00:00:00,7,False,xyz,xyz
BANK000904,GL000373,Payment to XYZ Corp,GL Entry: XYZ Corporation,80.3,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,41889.57,41885.33,4.24,2024-10-28 00:00:00,2024-10-19 00:00:00,9,False,xyz,xyz
BANK000948,GL000381,Payment to Smith & Co,GL Entry: Smith Co.,79.35,"[""date_window"", ""amount_tolerance"", ""vendor_fuzzy""]",fuzzy,4209.04,4167.41,41.63,2024-02-19 00:00:00,2024-02-21 00:00:00,2,False,smith,smith
